Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Australia,AUS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,6250000,12580000,144410000,61790000,42780000,35430000,36210000,55170000,51950000,49760000,67580000,54780000,59900000,81090000,59590000,108370000,106980000,92710000,86870000,107630000,91400000,106280000,103100000,62390000,54930000,55620000,45720000,0,0
"Bahamas, The",BHS,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,50000,60000,0,0,10000,0,0,0,820000,0,50000,0,0,10000,280000,120000,80000,70000,190000,-10000,5470000,-90000,580000,150000,270000,2460000,1460000,1800000,2180000,1730000,1710000,5020000,1560000,1780000,4680000,2460000,2170000,790000,280000,900000,1720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,240000,940000,1350000,640000,580000,880000,880000,0,0,0,100000,630000,1300000,1360000,14450000,18800000,136650000,37390000,47140000,118690000,169690000,181160000,151000000,256190000,197840000,79790000,100310000,19270000,8290000,6620000,140630000,102410000,75520000,116170000,86480000,104660000,140060000,133650000,184880000,65530000,22120000,60320000,1430000,54970000,8660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,15360000,199730000,254460000,285180000,316540000,171220000,432750000,537050000,495230000,1000120000,543000000,756710000,506610000,594560000,471880000,555820000,714260000,649570000,769530000,763720000,1149330000,800800000,642880000,755560000,689670000,595650000,579900000,655380000,675150000,594920000,600880000,537160000,479500000,823940000,640300000,821380000,937680000,1740740000,908570000,1093110000,1121500000,1103710000,1348300000,1122680000,980140000,946490000,1143390000,1330480000,0,0
Barbados,BRB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,1000000,100000,330000,360000,700000,730000,580000,410000,300000,730000,780000,1000000,1170000,1380000,710000,180000,1450000,3560000,4570000,2460000,2380000,2960000,2360000,1470000,1250000,1080000,1140000,19650000,2260000,1180000,2320000,3090000,4180000,170000,1550000,740000,1330000,1840000,3300000,2420000,3730000,11620000,6440000,9170000,13760000,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187030000,248000000,166740000,79130000,136510000,38620000,41050000,16600000,20610000,23210000,23750000,19080000,18830000,24410000,32360000,43440000,60810000,81500000,70640000,103090000,89330000,76910000,74420000,77320000,58830000,59770000,54970000,56180000,0,0
Belgium,BEL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1880000,2820000,5750000,3940000,1370000,1980000,1620000,4320000,4350000,5940000,1770000,3750000,3090000,3620000,3780000,4480000,6340000,4770000,7280000,15150000,8820000,7290000,4380000,4730000,4300000,1840000,5600000,7780000,6170000,3890000,4640000,4420000,8100000,19200000,14300000,8240000,3490000,4530000,29750000,15800000,12650000,24320000,11130000,9850000,5730000,8920000,8800000,15100000,18210000,15350000,20210000,16770000,21510000,36590000,30100000,21110000,24940000,17040000,17070000,0,0
Benin,BEN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,1000000,2040000,1060000,12660000,14060000,6810000,9220000,8010000,6380000,9230000,9040000,17320000,7260000,11710000,19920000,16980000,13800000,37020000,36260000,40980000,35530000,25970000,23730000,27320000,26480000,41270000,58000000,73180000,115890000,110060000,134040000,166510000,134240000,108380000,149470000,123320000,126440000,120010000,99180000,151610000,151990000,142770000,204750000,333370000,223730000,1359440000,298950000,411320000,482880000,457510000,532840000,353390000,340320000,350960000,239580000,293900000,430170000,328120000,0,0
Bermuda,BMU,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,10000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860000,0,60000,0,0,100000,0,110000,0,0,-20000,0,10000,10000,10000,30000,20000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,10000,10000,160000,20000,10000,140000,50000,140000,30000,70000,320000,80000,300000,520000,830000,920000,970000,2340000,2060000,4360000,4550000,7630000,6050000,17390000,13970000,14150000,17780000,16130000,35840000,33500000,35090000,44190000,40930000,28530000,32650000,28780000,38160000,20900000,30310000,32300000,42010000,42820000,49470000,61170000,68220000,57560000,62890000,52260000,63140000,78240000,82680000,52380000,58620000,38820000,50340000,49150000,0,0
Bolivia,BOL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,13050000,23090000,26480000,32750000,25710000,24990000,11780000,5120000,10770000,1750000,2840000,3550000,4690000,4170000,8260000,8070000,11270000,18160000,26000000,50520000,48190000,29360000,41940000,96680000,87800000,71490000,146460000,130360000,154870000,176130000,202230000,559650000,254570000,176170000,282440000,328440000,392880000,303880000,230810000,221180000,239730000,377640000,627750000,481610000,809080000,294910000,2081730000,415350000,424240000,427060000,502290000,393230000,311830000,297470000,255380000,212850000,228060000,254760000,236700000,0,0
Bosnia and Herzegovina,BIH,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,14750000,70160000,402190000,911200000,650900000,701400000,508290000,1067600000,571370000,432120000,325660000,318150000,291490000,278890000,300650000,424200000,271650000,210710000,232500000,215220000,230430000,263550000,332730000,259350000,198500000,252030000,226180000,0,0
Botswana,BWA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,2990000,4770000,4790000,5040000,7800000,9710000,13190000,13480000,14760000,9800000,9290000,5430000,2670000,6650000,12880000,17280000,21480000,21050000,74250000,54400000,50590000,45790000,50680000,51470000,53000000,53690000,61670000,99240000,64260000,73240000,78430000,63940000,52640000,52210000,33060000,28670000,30160000,41340000,45160000,32770000,18100000,16600000,13640000,15150000,30510000,35910000,48740000,94860000,731410000,259500000,136940000,106260000,75330000,105110000,103560000,68000000,79770000,91310000,69730000,0,0
Brazil,BRA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,39080000,96090000,81370000,89330000,161050000,57000000,31720000,38320000,46470000,17330000,28230000,22640000,13030000,8070000,5630000,9360000,5590000,4640000,4510000,10080000,13610000,7570000,24340000,15720000,41110000,34250000,29750000,35110000,45170000,42930000,40660000,48690000,60240000,66520000,76660000,72270000,88480000,75480000,84900000,71700000,63150000,88730000,85480000,95130000,96070000,110110000,101080000,165550000,203040000,202570000,182770000,216540000,250280000,861490000,253600000,279390000,317380000,212600000,241680000,0,0
British Virgin Islands,VGB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,10660000,0,0,0,0,0,0,1200000,2150000,2130000,1700000,690000,1110000,2230000,1970000,2200000,1370000,740000,1100000,750000,640000,560000,3130000,1720000,1940000,410000,610000,640000,-620000,0,450000,90000,370000,1990000,1100000,0,0,-10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,BRN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,10000,0,0,0,20000,30000,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,130000,140000,170000,370000,280000,100000,290000,80000,90000,60000,0,20000,-130000,10000,70000,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040000,120050000,81480000,47400000,103440000,22240000,97920000,140400000,107020000,148410000,125990000,174010000,160930000,210800000,391730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,1000000,1080000,10460000,10770000,4610000,15300000,13380000,12910000,13010000,18930000,25080000,35310000,64210000,41200000,26210000,41790000,79960000,137380000,87500000,122000000,96540000,73220000,81100000,87060000,112150000,109900000,141730000,115560000,157930000,214550000,204430000,227300000,213550000,242520000,235560000,210750000,216700000,226350000,217490000,225330000,258710000,369210000,419820000,440350000,1873560000,643160000,646050000,735350000,752730000,766100000,882400000,910670000,945760000,658080000,644790000,650040000,720690000,0,0
Burundi,BDI,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,7500000,6700000,10060000,5290000,3650000,2760000,2680000,2690000,5710000,4680000,6750000,9740000,11680000,11010000,18580000,23770000,20430000,14170000,22760000,32160000,38860000,59170000,32750000,45480000,45770000,42830000,51460000,31940000,50250000,74380000,134900000,117250000,151470000,111660000,243030000,229060000,72360000,45790000,51660000,60260000,59520000,134350000,128250000,172620000,258820000,292650000,352500000,441780000,434280000,832220000,521540000,474170000,427080000,463170000,395900000,302090000,712790000,405580000,380470000,0,0
Cabo Verde,CPV,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,220000,0,0,0,0,50000,420000,0,0,0,0,0,0,0,7770000,11410000,22080000,29570000,26010000,40020000,33680000,32120000,41140000,39980000,37000000,75870000,55530000,58690000,63990000,77460000,68880000,63350000,57790000,63260000,61370000,59800000,63400000,61860000,47030000,44310000,24340000,42420000,59280000,71560000,74980000,59270000,80780000,113570000,119440000,138970000,88570000,66180000,70840000,63670000,61570000,54310000,76370000,42540000,0,0
Cambodia,KHM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,26830000,24520000,21180000,22810000,11510000,7270000,2210000,1620000,2910000,1270000,6610000,25360000,67570000,87330000,113370000,43650000,0,0,20000,69490000,123140000,34270000,21730000,27780000,8340000,5460000,5740000,8810000,12020000,12810000,22620000,40710000,92770000,175400000,158670000,302760000,193870000,171200000,170460000,122140000,201320000,194790000,182350000,196050000,181080000,228720000,330220000,431100000,398370000,416290000,433650000,443070000,485490000,494280000,486340000,419770000,445010000,463690000,447880000,0,0
Cameroon,CMR,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,20000,4230000,3770000,3240000,21740000,19070000,6640000,18480000,21770000,8140000,21040000,15020000,50480000,11230000,14720000,30720000,35090000,37080000,23700000,31830000,28780000,27760000,33080000,31500000,39700000,43410000,59270000,49630000,61410000,225820000,312710000,259210000,203770000,109620000,334560000,206450000,240200000,140440000,277780000,190000000,233650000,309090000,406830000,802160000,607640000,338460000,3118090000,1823370000,872770000,376380000,360180000,446460000,319210000,355380000,339580000,310390000,329940000,428410000,468990000,0,0
Canada,CAN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210000,100000,0,0,2860000,10000,20000,40000,80000,150000,0,0,30000,30000,30000,520000,70000,450000,540000,580000,250000,230000,-10000,10000,290000,430000,20000,-470000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,30000,70000,12980000,10620000,3300000,11030000,8700000,8860000,6410000,4590000,16960000,12470000,21440000,35340000,16650000,19130000,15580000,38090000,55740000,45580000,43450000,40100000,50940000,33050000,42390000,42140000,79840000,77450000,86170000,73310000,94250000,92890000,100330000,109640000,119870000,73760000,103010000,80070000,56390000,58600000,45410000,34860000,86330000,63270000,157690000,149340000,232840000,354930000,237890000,258790000,208320000,201310000,497970000,443140000,428680000,436290000,486580000,0,0
Chad,TCD,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,40000,80000,11370000,12570000,3980000,10350000,6570000,13110000,11490000,16250000,25450000,22930000,51590000,27260000,31500000,34650000,57090000,49200000,21570000,56360000,48740000,71290000,91210000,125690000,101150000,106570000,151430000,127040000,146670000,112760000,112050000,106050000,114650000,120950000,124270000,107290000,90020000,61510000,62310000,110920000,109700000,126040000,228260000,271710000,214470000,322110000,445300000,536860000,452950000,454570000,477750000,471270000,379230000,1032160000,458230000,453860000,554830000,0,0
Channel Islands,CHI,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CHL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,15940000,45050000,18180000,13090000,17710000,33930000,21860000,6190000,23710000,7750000,12400000,9050000,5110000,9190000,11690000,15140000,17010000,23140000,27670000,15620000,9110000,6150000,7310000,13580000,18090000,31630000,17210000,18180000,26390000,41540000,73110000,94620000,61590000,84510000,67020000,54570000,47110000,36690000,24310000,15390000,18400000,24720000,24600000,28220000,40870000,93410000,27780000,37940000,24130000,20380000,68390000,34580000,22260000,28610000,44050000,30100000,21960000,25150000,0,0,0
China,CHN,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550000,7100000,18750000,46880000,72780000,112080000,117320000,154630000,209040000,301260000,241110000,259210000,245180000,334390000,272790000,336420000,332450000,263840000,273140000,350830000,388160000,326690000,280400000,353670000,375290000,435790000,371820000,396890000,532500000,657760000,508440000,483800000,525440000,448840000,407090000,289850000,259290000,210290000,190160000,191560000,0,0
Colombia,COL,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,13010000,16010000,21130000,24220000,20480000,20760000,8070000,16180000,43770000,12600000,22850000,24780000,29020000,16550000,25620000,17620000,16750000,15230000,9030000,9650000,8120000,6850000,11620000,10400000,14890000,19570000,25960000,17280000,34580000,36360000,34110000,64260000,96530000,77560000,46310000,75110000,81810000,88510000,58490000,103950000,79530000,92710000,100670000,105890000,142960000,190420000,247770000,524680000,736990000,798760000,421510000,771280000,575240000,561750000,570660000,656670000,595730000,664060000,741270000,0,0
Comoros,COM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,3300000,6600000,3750000,2020000,3080000,2160000,7100000,8430000,12590000,14120000,11170000,6320000,8170000,11350000,17790000,32130000,14340000,15280000,13290000,14310000,15860000,20580000,26120000,19500000,27740000,32790000,22810000,27830000,16510000,17750000,15990000,14750000,29760000,15920000,11330000,11150000,8170000,7430000,14180000,12590000,20130000,29330000,32350000,41520000,60390000,48860000,93450000,157720000,59030000,46250000,38970000,50520000,51830000,0,0
"Congo, Dem. Rep.",COD,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,71200000,60220000,111750000,104390000,107300000,130750000,37780000,30610000,33880000,34630000,38290000,47140000,42860000,42400000,51760000,57050000,56230000,66920000,70330000,106380000,101330000,96040000,76370000,77160000,91890000,91230000,98560000,96950000,128190000,214490000,373880000,474180000,109310000,74730000,220980000,161060000,123790000,113080000,98220000,96850000,138550000,198290000,493480000,4846990000,1558010000,1115330000,1907480000,1211290000,1639380000,1962630000,3908670000,6976790000,2512540000,2250470000,2167280000,2478930000,1958110000,2143660000,2240830000,0,0
"Congo, Rep.",COG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,20000,1010000,10830000,10880000,4080000,10620000,7320000,4770000,5140000,5550000,20000000,8370000,14150000,17870000,20780000,11670000,24590000,27570000,19900000,9250000,22700000,20810000,20270000,23820000,6380000,5870000,19010000,27150000,49870000,28030000,38630000,71830000,182630000,88290000,300920000,233910000,53470000,128890000,31280000,34670000,60930000,33250000,77510000,1289030000,254450000,91650000,464370000,286920000,1365540000,303370000,123230000,131190000,96690000,90570000,74880000,87810000,81440000,0,0
Costa Rica,CRI,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,4010000,6000000,9000000,7030000,7120000,5660000,3310000,4100000,3170000,4130000,3080000,3220000,4450000,3260000,2440000,-3190000,1450000,4600000,2130000,1330000,-180000,2720000,4950000,45700000,106210000,165390000,97140000,148610000,112650000,139860000,109860000,50980000,42020000,35410000,40410000,32440000,36340000,30870000,25140000,24360000,26850000,22070000,20400000,24500000,31770000,23850000,20840000,59290000,42200000,33140000,49230000,26260000,23430000,25990000,28060000,30920000,27640000,35880000,26080000,0,0
Cote d'Ivoire,CIV,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,1000000,2020000,2110000,27200000,20260000,4060000,21520000,7830000,13170000,11900000,10130000,34540000,13740000,25230000,16890000,15630000,17410000,11790000,24050000,26700000,10660000,8790000,12410000,10430000,15460000,57450000,39920000,232130000,175750000,286850000,227950000,192560000,212050000,684280000,454810000,497360000,304220000,513330000,366800000,238030000,214880000,672580000,285980000,223410000,158310000,199480000,239000000,736080000,1328770000,642270000,717100000,2734580000,1817300000,860110000,586290000,719340000,882150000,726910000,0,0
Croatia,HRV,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,94860000,30540000,25370000,38640000,35510000,28350000,45880000,67050000,61850000,62680000,61660000,80430000,146730000,135390000,169550000,133960000,107320000,260000,0,0,0,0,0,0,0,0,0
Cuba,CUB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,20000,0,0,0,20000,0,0,0,620000,0,30000,190000,830000,1930000,10700000,11000000,15240000,25500000,33380000,25190000,16060000,6740000,9500000,2320000,610000,14750000,23960000,28820000,22120000,13810000,14710000,14660000,10110000,30470000,35120000,41390000,39540000,47320000,52070000,43040000,30020000,33350000,33810000,26700000,49380000,43140000,41370000,61400000,70110000,75700000,99420000,55640000,63180000,74890000,249940000,531800000,2595660000,680870000,510600000,0,0
Curacao,CUW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
